name,object_frozen_full_test/froc_run_results,object_frozen_full_test/froc_mean,object_frozen_full_test/froc_std,object_frozen_full_test/froc_num_runs,object_frozen_full_test/froc_95_interval,object_frozen_full_test/mAP_run_results,object_frozen_full_test/mAP_mean,object_frozen_full_test/mAP_std,object_frozen_full_test/mAP_num_runs,object_frozen_full_test/mAP_95_interval,object_frozen_full_test/mAP@0.5_run_results,object_frozen_full_test/mAP@0.5_mean,object_frozen_full_test/mAP@0.5_std,object_frozen_full_test/mAP@0.5_num_runs,object_frozen_full_test/mAP@0.5_95_interval
ImageNet,0.5534130930900574;0.5200563073158264;0.5200563073158264;0.5200563073158264;0.5200563073158264,0.5267276644706727,0.0149176081004156,5.0,0.0130758600234985,0.10579637438058852;0.10831166803836824;0.10831166803836824;0.10831166803836824;0.10831166803836824,0.1078086093068122,0.0011248735204339,5.0,0.0009859951138496,0.16027851402759552;0.16622084379196167;0.16622084379196167;0.16622084379196167;0.16622084379196167,0.1650323778390884,0.0026574906595686,5.0,0.0023293932676315
byol_100,0.5306122303009033;0.5469387769699097;0.5256861448287964;0.5256861448287964;0.5256861448287964,0.5309218883514404,0.0092042875855418,5.0,0.0080679137884857,0.11265425384044649;0.11173087358474731;0.11964890360832214;0.11964890360832214;0.11964890360832214,0.116666367650032,0.0040970331069265,5.0,0.0035912078569967,0.16977573931217194;0.15576454997062683;0.16794776916503906;0.16794776916503906;0.16794776916503906,0.1658767193555831,0.0057080221669083,5.0,0.0050033020282548
byol_30,0.5674876570701599;0.5455313324928284;0.5641098022460938;0.5455313324928284;0.5641098022460938,0.5573539853096008,0.0108802994853248,5.0,0.0095370029917789,0.10783863067626952;0.10490043461322784;0.1053210124373436;0.10490043461322784;0.1053210124373436,0.1056563049554824,0.0012379486707502,5.0,0.0010851098531375,0.15532664954662323;0.1408987194299698;0.15203063189983368;0.1408987194299698;0.15203063189983368,0.148237070441246,0.006832772865041,5.0,0.0059891894836106
chexpert_30,0.4930330812931061;0.4349049925804138;0.4648838937282562;0.45277974009513855;0.47093597054481506,0.4633075356483459,0.0215744346367428,5.0,0.0189108257501621,0.07986313849687576;0.06374852359294891;0.06799143552780151;0.06565329432487488;0.083107590675354,0.072072796523571,0.00879797058863,5.0,0.0077117612376865,0.1179291531443596;0.08969243615865707;0.0975424498319626;0.09957021474838255;0.12119606882333755,0.1051860645413398,0.0136813895441685,5.0,0.0119922666825869
chexpert_100,0.4233638346195221;0.43194931745529175;0.37832513451576233;0.37832513451576233;0.37832513451576233,0.3980577111244202,0.0271899089961964,5.0,0.023833006048471,0.05959097295999527;0.04646443575620651;0.034647490829229355;0.034647490829229355;0.034647490829229355,0.0419995762407779,0.0110854824965077,5.0,0.0097168538308255,0.08518137037754059;0.06268613785505295;0.04838109016418457;0.04838109016418457;0.04838109016418457,0.0586021557450294,0.0160977025160415,5.0,0.0141102583861158
ConVIRT_100,0.5151301622390747;0.5379310250282288;0.5169599056243896;0.5379310250282288;0.5169599056243896,0.5249824047088623,0.0118439984924268,5.0,0.0103817224157527,0.09336419403553008;0.08813197910785675;0.08451623469591141;0.08813197910785675;0.08451623469591141,0.0877321243286132,0.0036305601885926,5.0,0.0031823263162142,0.13812080025672913;0.12834039330482483;0.1220136657357216;0.12834039330482483;0.1220136657357216,0.1277657836675644,0.0065965984119847,5.0,0.0057821734480302
ConVIRT_30,0.5476425290107727;0.5344123840332031;0.534834623336792;0.5491907000541687;0.534834623336792,0.5401829719543457,0.0075381282130221,5.0,0.0066074607061112,0.09666137397289276;0.09260112047195436;0.09158459305763245;0.08940151333808899;0.09158459305763245,0.0923666387796402,0.0026699668514303,5.0,0.002340329131968,0.1448037028312683;0.1447850614786148;0.13790003955364227;0.13195164501667023;0.13790003955364227,0.1394680976867675,0.0054349208729606,5.0,0.0047639181895147
LoVT_100,0.5683321356773376;0.5835327506065369;0.5721322894096375;0.5721322894096375;0.5721322894096375,0.5736523509025574,0.0057632184840554,5.0,0.0050516837334162,0.10445944964885712;0.1000540778040886;0.09926311671733856;0.09926311671733856;0.09926311671733856,0.1004605755209922,0.0022615236812654,5.0,0.0019823129081417,0.15056367218494415;0.148638978600502;0.14450038969516754;0.14450038969516754;0.14450038969516754,0.1465407639741897,0.0028755728423095,5.0,0.0025205507290652
LoVT_30,0.5373680591583252;0.5674876570701599;0.5596058964729309;0.5674876570701599;0.5596058964729309,0.5583110332489014,0.0123529587023738,5.0,0.0108278457096481,0.09346145391464232;0.10885148495435716;0.09819545596837996;0.10885148495435716;0.09819545596837996,0.1015110671520233,0.0069739926752768,5.0,0.0061129741050298,0.12725898623466492;0.15171347558498385;0.142166405916214;0.15171347558498385;0.142166405916214,0.1430037498474121,0.0100127233531511,5.0,0.0087765389825579
pixelpro_30,0.4291343986988067;0.448135107755661;0.4927515685558319;0.448135107755661;0.4927515685558319,0.4621815502643585,0.0289645099974903,5.0,0.0253885124094294,0.08086010813713074;0.06691943109035492;0.09683451056480408;0.06691943109035492;0.09683451056480408,0.0816735982894897,0.0149644511071037,5.0,0.0131169197292107,0.12533900141716003;0.10171741247177124;0.14994752407073977;0.10171741247177124;0.14994752407073977,0.1257337749004364,0.0241160655605233,5.0,0.0211386634817232
pixelpro_100,0.47135820984840393;0.4800844490528106;0.4595355391502381;0.4800844490528106;0.4595355391502381,0.4701196372509003,0.010297757957234572,5.0,0.009026382828820623,0.08582919836044312;0.06393942981958389;0.08199919015169144;0.06393942981958389;0.08199919015169144,0.07554128766059875,0.0107057966362052,5.0,0.009384044500482617,0.12615756690502167;0.091363824903965;0.11319998651742937;0.091363824903965;0.11319998651742937,0.10705703794956208,0.01527134335923229,5.0,0.013385922648721488
random,0.29429978132247925;0.2831808626651764;0.2553131580352783;0.2924700975418091;0.2924700975418091,0.2835467994213104,0.0163718472849432,5.0,0.0143505568709803,0.0366973876953125;0.01812872290611267;0.014947963878512384;0.022777002304792404;0.022777002304792404,0.0230656158179044,0.0083105502926883,5.0,0.0072845185108737,0.049301326274871826;0.02588477358222008;0.020338330417871475;0.030401475727558136;0.030401475727558136,0.0312654763460159,0.0108988457778895,5.0,0.0095532595339738
simclr_100,0.487825483083725;0.481491893529892;0.481491893529892;0.4876847267150879;0.49584800004959106,0.4868683993816375,0.0059166979395554,5.0,0.0051862144077101,0.07149747014045715;0.07396389544010162;0.07396389544010162;0.08508890867233276;0.08004774153232574,0.0769123822450637,0.00555415349659,5.0,0.0048684301921306,0.10156182944774628;0.1055029034614563;0.1055029034614563;0.12238878756761552;0.11835908889770508,0.1106631025671958,0.0091215181897672,5.0,0.0079953632142855
simclr_30,0.5375087857246399;0.5268120765686035;0.5507389307022095;0.5507389307022095;0.5507389307022095,0.5433075308799744,0.0108559035583039,5.0,0.0095156190189114,0.0946430116891861;0.09710073471069336;0.10634023696184158;0.10634023696184158;0.10634023696184158,0.1021528914570808,0.0057992277297719,5.0,0.0050832472289425,0.13948088884353638;0.14228028059005737;0.15398594737052915;0.15398594737052915;0.15398594737052915,0.1487438023090362,0.0072460149982292,5.0,0.0063514121839932
